Real time ,Mid-span strain
17:05:36,1935
17:05:37,1929
17:05:38,1923
17:05:39,1929
17:05:40,1929
17:05:41,1926
17:05:42,1928
17:05:43,1936
17:05:44,1933
17:05:45,1931
17:05:46,1943
17:05:47,1935
17:05:48,1937
17:05:49,1945
17:05:50,1943
17:05:51,1946
17:05:52,1939
17:05:53,1939
17:05:54,1937
17:05:55,1946
17:05:56,1940
17:05:57,1933
17:05:58,1948
17:05:59,1947
17:06:00,1950
17:06:01,1937
17:06:02,1944
17:06:03,1945
17:06:04,1953
17:06:05,1945
17:06:06,1949
17:06:07,1950
17:06:08,1947
17:06:09,1944
17:06:10,1943
17:06:11,1948
17:06:12,1946
17:06:13,1950
17:06:14,1946
17:06:15,1956
17:06:16,1948
17:06:17,1953
17:06:18,1954
17:06:19,1949
17:06:20,1950
17:06:21,1961
17:06:22,1958
17:06:23,1955
17:06:24,1955
17:06:25,1948
17:06:26,1958
17:06:27,1965
17:06:28,1965
17:06:29,1970
17:06:30,1981
17:06:31,1980
17:06:32,2001
17:06:33,2013
17:06:34,2025
17:06:35,2041
17:06:36,2040
17:06:37,2049
17:06:38,2055
17:06:39,2071
17:06:40,2079
17:06:41,2083
17:06:42,2091
17:06:43,2142
17:06:44,2213
17:06:45,2249
17:06:46,2283
17:06:47,2320
17:06:48,2367
17:06:49,2395
17:06:50,2436
17:06:51,2458
17:06:52,2487
17:06:53,2520
17:06:54,2550
17:06:55,2560
17:06:56,2582
17:06:57,2598
17:06:58,2603
17:06:59,2617
17:07:00,2635
17:07:01,2653
17:07:02,2662
17:07:03,2673
17:07:04,2695
17:07:05,2701
17:07:06,2725
17:07:07,2741
17:07:08,2758
17:07:09,2780
17:07:10,2797
17:07:11,2815
17:07:12,2835
17:07:13,2854
17:07:14,2879
17:07:15,2895
17:07:16,2922
17:07:17,2937
17:07:18,2959
17:07:19,2973
17:07:20,2989
17:07:21,3014
17:07:22,3031
17:07:23,3127
17:07:24,3166
17:07:25,3225
17:07:26,3256
17:07:27,3280
17:07:28,3313
17:07:29,3364
17:07:30,3401
17:07:31,3468
